time,id,source,dest
0,morning_01,1,12
0,morning_02,1,18
0,morning_03,1,24
0,morning_04,1,31
0,morning_05,1,38
0,morning_06,1,45
5,morning_07,1,52
5,morning_08,1,57
5,morning_09,2,41
5,morning_10,3,33
10,morning_11,1,19
10,morning_12,1,27
10,morning_13,4,60
15,morning_14,1,14
15,morning_15,1,48
15,morning_16,6,55
20,morning_17,1,22
20,morning_18,1,36
25,morning_19,1,43
25,morning_20,2,50
30,midday_01,18,35
30,midday_02,45,22
35,midday_03,31,58
35,midday_04,52,10
40,midday_05,24,47
40,midday_06,37,15
45,midday_07,60,30
45,midday_08,14,51
50,midday_09,28,42
50,midday_10,55,20
55,midday_11,40,8
55,midday_12,17,49
60,midday_13,33,60
60,midday_14,46,25
100,evening_01,12,1
100,evening_02,18,1
100,evening_03,24,1
100,evening_04,31,1
100,evening_05,38,1
100,evening_06,45,1
105,evening_07,52,1
105,evening_08,57,1
105,evening_09,41,1
105,evening_10,33,1
110,evening_11,19,1
110,evening_12,27,1
110,evening_13,60,1
115,evening_14,14,1
115,evening_15,48,1
115,evening_16,55,1
120,evening_17,22,1
120,evening_18,36,1
